identity_mode,horizon,category,category_label,category_order,countries,min_country_year_pairs,median_country_year_pairs,max_country_year_pairs,median_country_median_net_contribution,median_country_median_gross_positive_contribution,median_country_median_gross_contraction,median_country_median_net_growth_share,median_country_median_gross_positive_share,median_country_median_gross_contraction_share,median_country_median_cell_count,median_country_median_product_count,median_country_median_partner_count,summary_weighting
hs4,10,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,60,5,22.0,28,44364000339.913,44364000339.913,0.0,1.1088446849746822,0.848326003747405,0.0,9266.0,918.25,139.75,equal_country_after_within_country_median
hs4,10,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,60,5,22.0,28,-12153037223.0,0.0,12153037223.0,-0.3903751940343473,0.0,1.0,12874.0,1108.25,187.0,equal_country_after_within_country_median
hs4,10,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,60,5,22.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,equal_country_after_within_country_median
hs6_harmonized_family,5,net_new_product,Net-new products,1,60,9,27.0,33,8511370171.5,8511370171.5,0.0,0.4342405817866142,0.2657365596318395,0.0,8358.25,614.5,182.0,equal_country_after_within_country_median
hs6_harmonized_family,5,net_new_partner_existing_product,Net-new partners for existing products,2,60,9,27.0,33,27918573.252,27918573.252,0.0,0.001711872092209512,0.0010956453184478797,0.0,188.5,161.5,13.0,equal_country_after_within_country_median
hs6_harmonized_family,5,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,60,9,27.0,33,3189142646.5,3189142646.5,0.0,0.16184388609626954,0.10133641789966907,0.0,18166.5,2961.0,180.0,equal_country_after_within_country_median
hs6_harmonized_family,5,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,60,9,27.0,33,25715478327.0095,25715478327.0095,0.0,1.0210846968178386,0.5595909432315844,0.0,14248.5,2462.0,141.5,equal_country_after_within_country_median
hs6_harmonized_family,5,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,60,9,27.0,33,-24091324954.25,0.0,24091324954.25,-0.7414670108862924,0.0,1.0,32858.0,3722.75,192.25,equal_country_after_within_country_median
hs6_harmonized_family,5,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,60,9,27.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,equal_country_after_within_country_median
hs6_harmonized_family,10,net_new_product,Net-new products,1,60,5,22.0,28,10856492637.35625,10856492637.35625,0.0,0.3511358152554457,0.2458812234374633,0.0,9253.75,723.5,187.25,equal_country_after_within_country_median
hs6_harmonized_family,10,net_new_partner_existing_product,Net-new partners for existing products,2,60,5,22.0,28,196930330.03724998,196930330.03724998,0.0,0.006413159651465964,0.0037805131570257584,0.0,845.75,538.0,20.5,equal_country_after_within_country_median
hs6_harmonized_family,10,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,60,5,22.0,28,5947969033.2565,5947969033.2565,0.0,0.18252086233840065,0.1139266665898552,0.0,22697.25,2907.0,178.0,equal_country_after_within_country_median
hs6_harmonized_family,10,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,60,5,22.0,28,36985329976.44475,36985329976.44475,0.0,0.848437913895048,0.5463738014560322,0.0,14019.5,2361.0,133.0,equal_country_after_within_country_median
hs6_harmonized_family,10,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,60,5,22.0,28,-19436182634.0,0.0,19436182634.0,-0.5738527749579704,0.0,1.0,30769.25,3721.25,187.0,equal_country_after_within_country_median
hs6_harmonized_family,10,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,60,5,22.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,equal_country_after_within_country_median
