country,iso3,reporter_code,base_year,future_year,horizon,identity_mode,overlap_channel,overlap_channel_label,base_value,future_value,net_contribution,gross_positive_contribution,cell_count,product_count,partner_count,total_base_exports,total_future_exports,total_growth,total_gross_positive_growth,net_growth_share,gross_positive_share
Azerbaijan,AZE,31,1996,2001,5,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,1777312655.0,1777312655.0,1777312655.0,1403,655,67,630664503.0,2303852379.0,1673187876.0,2179546834.0,1.0622313731132964,0.8154505456247516
Azerbaijan,AZE,31,1996,2001,5,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,189196659.0,189196659.0,189196659.0,321,182,45,630664503.0,2303852379.0,1673187876.0,2179546834.0,0.11307556175478767,0.08680550289106566
Azerbaijan,AZE,31,1996,2001,5,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,1953517685.0,1953517685.0,1953517685.0,2171,942,86,630664503.0,2303852379.0,1673187876.0,2179546834.0,1.1675423382042245,0.8962953465949702
Azerbaijan,AZE,31,1996,2001,5,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,119642327.0,119642327.0,119642327.0,630,278,39,630664503.0,2303852379.0,1673187876.0,2179546834.0,0.0715056143521805,0.05489321226487579
Azerbaijan,AZE,31,1996,2006,10,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,4135178833.0,4135178833.0,4135178833.0,2547,810,81,630664503.0,6359725471.0,5729060968.0,5979760601.0,0.7217899854962758,0.6915291612691771
Azerbaijan,AZE,31,1996,2006,10,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,370011599.0,370011599.0,370011599.0,828,313,50,630664503.0,6359725471.0,5729060968.0,5979760601.0,0.06458503427816899,0.06187732648329143
Azerbaijan,AZE,31,1996,2006,10,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,4757046192.0,4757046192.0,4757046192.0,3533,1101,93,630664503.0,6359725471.0,5729060968.0,5979760601.0,0.830336108931421,0.7955245217015001
Azerbaijan,AZE,31,1996,2006,10,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,438123385.0,438123385.0,438123385.0,766,282,43,630664503.0,6359725471.0,5729060968.0,5979760601.0,0.0764738562649557,0.0732677132470374
Azerbaijan,AZE,31,1997,2002,5,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,71128476.0,71128476.0,71128476.0,1246,590,77,781308980.0,2149841197.0,1368532217.0,1940416489.0,0.05197427953572247,0.036656293328375236
Azerbaijan,AZE,31,1997,2002,5,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,62496575.0,62496575.0,62496575.0,360,222,45,781308980.0,2149841197.0,1368532217.0,1940416489.0,0.0456668642679093,0.03220781484505309
Azerbaijan,AZE,31,1997,2002,5,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,1677184647.0,1677184647.0,1677184647.0,1998,867,95,781308980.0,2149841197.0,1368532217.0,1940416489.0,1.2255353773670057,0.8643426071195378
Azerbaijan,AZE,31,1997,2002,5,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,1548790691.0,1548790691.0,1548790691.0,609,266,48,781308980.0,2149841197.0,1368532217.0,1940416489.0,1.1317166463169934,0.7981743609064951
Azerbaijan,AZE,31,1997,2007,10,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,355712666.0,355712666.0,355712666.0,2295,776,74,781308980.0,6036969402.0,5255660422.0,5597604670.0,0.06768182063494817,0.06354730049201564
Azerbaijan,AZE,31,1997,2007,10,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,762737550.0,762737550.0,762737550.0,815,269,40,781308980.0,6036969402.0,5255660422.0,5597604670.0,0.1451268706035894,0.13626141804687325
Azerbaijan,AZE,31,1997,2007,10,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,4181444844.0,4181444844.0,4181444844.0,3362,1092,90,781308980.0,6036969402.0,5255660422.0,5597604670.0,0.795607879553372,0.7470061018081865
Azerbaijan,AZE,31,1997,2007,10,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,3068349845.0,3068349845.0,3068349845.0,825,303,48,781308980.0,6036969402.0,5255660422.0,5597604670.0,0.5838181310489546,0.5481540812348936
Azerbaijan,AZE,31,1998,2003,5,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,95241727.0,95241727.0,95241727.0,864,502,57,606149410.0,2588603121.0,1982453711.0,2438085766.0,0.04804234594307761,0.03906414135555886
Azerbaijan,AZE,31,1998,2003,5,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,37405654.0,37405654.0,37405654.0,168,124,28,606149410.0,2588603121.0,1982453711.0,2438085766.0,0.018868361865120996,0.015342222378570747
Azerbaijan,AZE,31,1998,2003,5,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,608847261.0,608847261.0,608847261.0,1904,868,82,606149410.0,2588603121.0,1982453711.0,2438085766.0,0.3071180212792368,0.24972347958000424
Azerbaijan,AZE,31,1998,2003,5,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,478376597.0,478376597.0,478376597.0,926,354,52,606149410.0,2588603121.0,1982453711.0,2438085766.0,0.24130530480769444,0.19620991339645924
Azerbaijan,AZE,31,1998,2008,10,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,472462840.0,472462840.0,472462840.0,1191,587,69,606149410.0,47752588281.0,47146438871.0,47565051024.0,0.010021177660792831,0.009932982932397328
Azerbaijan,AZE,31,1998,2008,10,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,3655143333.0,3655143333.0,3655143333.0,333,147,35,606149410.0,47752588281.0,47146438871.0,47565051024.0,0.07752745319749475,0.07684514689484337
Azerbaijan,AZE,31,1998,2008,10,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,16158505458.0,16158505458.0,16158505458.0,2560,959,90,606149410.0,47752588281.0,47146438871.0,47565051024.0,0.34273013709926614,0.33971382580556614
Azerbaijan,AZE,31,1998,2008,10,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,12031442152.0,12031442152.0,12031442152.0,1132,367,54,606149410.0,47752588281.0,47146438871.0,47565051024.0,0.2551930207267594,0.25294710912701995
Azerbaijan,AZE,31,1999,2004,5,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,191275365.0,191275365.0,191275365.0,770,494,58,929225537.0,3598710128.0,2669484591.0,3187184764.0,0.07165254508112649,0.060013892875148044
Azerbaijan,AZE,31,1999,2004,5,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,37811134.0,37811134.0,37811134.0,150,100,23,929225537.0,3598710128.0,2669484591.0,3187184764.0,0.014164207625501144,0.011863489819318175
Azerbaijan,AZE,31,1999,2004,5,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,953921235.0,953921235.0,953921235.0,2070,931,92,929225537.0,3598710128.0,2669484591.0,3187184764.0,0.3573428512065908,0.29929900700290873
Azerbaijan,AZE,31,1999,2004,5,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,727723213.0,727723213.0,727723213.0,1179,429,67,929225537.0,3598710128.0,2669484591.0,3187184764.0,0.27260813396468864,0.2283279027999269
Azerbaijan,AZE,31,1999,2009,10,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,393635163.0,393635163.0,393635163.0,995,539,63,929225537.0,14672649400.0,13743423863.0,14255535437.0,0.028641710167998477,0.027612793973232786
Azerbaijan,AZE,31,1999,2009,10,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,189364347.0,189364347.0,189364347.0,204,126,21,929225537.0,14672649400.0,13743423863.0,14255535437.0,0.013778542296858504,0.013283566081180512
Azerbaijan,AZE,31,1999,2009,10,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,4772012491.0,4772012491.0,4772012491.0,2433,972,95,929225537.0,14672649400.0,13743423863.0,14255535437.0,0.3472215176195792,0.33474803609370735
Azerbaijan,AZE,31,1999,2009,10,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,4192807254.0,4192807254.0,4192807254.0,1279,423,73,929225537.0,14672649400.0,13743423863.0,14255535437.0,0.3050773443208618,0.2941178374203778
Azerbaijan,AZE,31,2000,2005,5,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,374474194.0,374474194.0,374474194.0,940,520,60,1745251969.0,4345233135.0,2599981166.0,3014002500.0,0.14402957948196152,0.1242448186423203
Azerbaijan,AZE,31,2000,2005,5,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,32184607.0,32184607.0,32184607.0,140,97,15,1745251969.0,4345233135.0,2599981166.0,3014002500.0,0.012378784670011722,0.010678361082978531
Azerbaijan,AZE,31,2000,2005,5,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,1160631058.0,1160631058.0,1160631058.0,2341,1009,80,1745251969.0,4345233135.0,2599981166.0,3014002500.0,0.4463997944206647,0.3850796600201891
Azerbaijan,AZE,31,2000,2005,5,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,755425874.0,755425874.0,755425874.0,1287,484,62,1745251969.0,4345233135.0,2599981166.0,3014002500.0,0.2905505177801738,0.2506387682160184
Azerbaijan,AZE,31,2000,2010,10,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,625239428.0,625239428.0,625239428.0,975,474,84,1745251969.0,21265764452.0,19520512483.0,19975335150.0,0.03202986748142538,0.03130057259640021
Azerbaijan,AZE,31,2000,2010,10,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,543302832.0,543302832.0,543302832.0,214,117,33,1745251969.0,21265764452.0,19520512483.0,19975335150.0,0.027832406166239276,0.02719868417326655
Azerbaijan,AZE,31,2000,2010,10,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,8685582338.0,8685582338.0,8685582338.0,2370,902,108,1745251969.0,21265764452.0,19520512483.0,19975335150.0,0.4449464298421514,0.434815349668864
Azerbaijan,AZE,31,2000,2010,10,hs6_harmonized_family,future_new_cell_existing_product_partner,Future new cells where both product and partner existed in the base year,0.0,7520300500.0,7520300500.0,7520300500.0,1231,417,73,1745251969.0,21265764452.0,19520512483.0,19975335150.0,0.38525118162493277,0.37647931529198897
Azerbaijan,AZE,31,2001,2006,5,hs6_harmonized_family,future_cells_with_new_product,Future cells whose product was absent in the base year,0.0,141340839.0,141340839.0,141340839.0,1202,558,70,2303852379.0,6359725471.0,4055873092.0,4488674321.0,0.0348484372646638,0.03148832570426087
Azerbaijan,AZE,31,2001,2006,5,hs6_harmonized_family,future_cells_with_new_partner,Future cells whose partner was absent in the base year,0.0,35107438.0,35107438.0,35107438.0,202,149,17,2303852379.0,6359725471.0,4055873092.0,4488674321.0,0.008655950815928537,0.007821337769094074
Azerbaijan,AZE,31,2001,2006,5,hs6_harmonized_family,future_cells_with_new_product_partner_cell,Future product-partner cells absent in the base year,0.0,792405500.0,792405500.0,792405500.0,3081,1078,91,2303852379.0,6359725471.0,4055873092.0,4488674321.0,0.19537236053144239,0.17653441602853145
